@relation dataset

@attribute sports real
@attribute religious real
@attribute nature real
@attribute theatre real
@attribute shopping real
@attribute picnic real


@data

2.0,77.0,79.0,69.0,68.0,95.0
2.0,62.0,76.0,76.0,69.0,68.0
2.0,50.0,97.0,87.0,50.0,75.0
2.0,68.0,77.0,95.0,76.0,61.0
2.0,98.0,54.0,59.0,95.0,86.0
3.0,52.0,109.0,93.0,52.0,76.0
3.0,64.0,85.0,82.0,73.0,69.0
3.0,54.0,107.0,92.0,54.0,76.0
3.0,64.0,108.0,64.0,54.0,93.0
3.0,86.0,76.0,74.0,74.0,103.0
3.0,107.0,54.0,64.0,103.0,94.0
3.0,103.0,60.0,63.0,102.0,93.0
3.0,64.0,82.0,82.0,75.0,69.0
3.0,93.0,54.0,74.0,103.0,69.0
3.0,63.0,82.0,81.0,78.0,69.0
3.0,82.0,79.0,75.0,75.0,82.0
5.0,59.0,131.0,103.0,54.0,86.0
5.0,56.0,124.0,108.0,56.0,85.0
4.0,85.0,67.0,111.0,65.0,72.0
5.0,114.0,83.0,65.0,114.0,102.0
4.0,93.0,82.0,79.0,79.0,90.0
4.0,105.0,52.0,75.0,113.0,78.0
5.0,69.0,118.0,74.0,66.0,101.0
4.0,71.0,123.0,64.0,59.0,102.0
5.0,88.0,94.0,81.0,79.0,91.0
5.0,83.0,99.0,89.0,74.0,91.0
5.0,69.0,133.0,74.0,54.0,101.0
5.0,128.0,53.0,74.0,117.0,105.0
5.0,74.0,123.0,69.0,61.0,101.0
5.0,79.0,93.0,118.0,90.0,72.0
4.0,51.0,115.0,110.0,51.0,84.0
5.0,69.0,93.0,93.0,81.0,79.0
4.0,100.0,53.0,86.0,112.0,78.0
4.0,88.0,69.0,108.0,71.0,77.0
4.0,93.0,84.0,75.0,84.0,112.0
4.0,79.0,86.0,110.0,93.0,73.0
4.0,87.0,72.0,112.0,63.0,71.0
5.0,65.0,128.0,79.0,56.0,101.0
4.0,91.0,66.0,110.0,69.0,71.0
4.0,93.0,79.0,74.0,92.0,90.0
5.0,59.0,118.0,108.0,63.0,85.0
5.0,65.0,103.0,90.0,80.0,79.0
4.0,87.0,89.0,76.0,89.0,111.0
4.0,93.0,85.0,79.0,85.0,91.0
5.0,93.0,94.0,79.0,79.0,113.0
5.0,74.0,130.0,74.0,53.0,101.0
