@relation dataset

@attribute vvar04 {0, 1, 2, 3}
@attribute vvar05 {0, 1, 2, 3, 4, 5, 6, 7, 8}
@attribute vvar43 {0, 1, 2, 3, 4, 5}
@attribute vvar44 {0, 1, 2}
@attribute vvar45 {0, 1}
@attribute vvar46 {0, 1, 2}
@attribute vvar47 {0, 1, 2}
@attribute vvar48 {0, 1}
@attribute vvar49 {0, 1, 2}
@attribute vvar51 {0, 1}
@attribute vvar52 {0, 1, 2}
@attribute vvar53 {0, 1}
@attribute vvar54 {0, 1, 2, 3}
@attribute vvar55 {0, 1, 2, 3, 4}
@attribute vvar56 {0, 1}
@attribute vvar57 {0, 1}
@attribute vvar58 {0, 1}
@attribute vvar59 {0, 1, 2, 3, 4}
@attribute vvar61 {0, 1}
@attribute vvar62 {0, 1}
@attribute vvar63 {0, 1}
@attribute vvar64 {0, 1}
@attribute vvar65 {0, 1}
@attribute vvar66 {0, 1}
@attribute vvar67 {0, 1}
@attribute vvar68 {0, 1, 2}
@attribute vvar69 {0, 1}
@attribute vvar70 {0, 1}
@attribute vvar72 {0, 1}
@attribute vvar73 {0, 1, 2}
@attribute vvar74 {0, 1}
@attribute vvar75 {0, 1}
@attribute vvar76 {0, 1, 2}
@attribute vvar77 {0, 1}
@attribute vvar78 {0, 1}
@attribute vvar79 {0, 1}
@attribute vvar80 {0, 1, 2}
@attribute vvar82 {0, 1}
@attribute vvar83 {0, 1, 2}
@attribute vvar84 {0, 1}
@attribute vvar85 {0, 1}
@attribute vvar86 {0, 1}


@data

0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
