@relation dataset

@attribute urban_degree {high_pop, low_pop, medium_pop}
@attribute house_rooms real
@attribute housing_tenure {mortgage, property, rent, rent_low_or_free_transfer}
@attribute family_members real
@attribute equivalent_income real
@attribute invoices_overdue {no, yes}
@attribute afford_holidays {no, yes}
@attribute afford_meal {no, yes}
@attribute afford_unexpected {no, yes}
@attribute have_phone {no, yes}
@attribute have_tv {no, yes}
@attribute have_computer {no, yes}
@attribute have_washer {no, yes}
@attribute have_car {no, yes}
@attribute have_shower {no, yes}
@attribute have_wc {no, yes}
@attribute problem_light {no, yes}
@attribute problem_noise {no, yes}
@attribute problem_pollution {no, yes}
@attribute problem_vandal {no, yes}
@attribute problem_leaks {no, yes}
@attribute afford_heating {no, yes}


@data

low_pop,4.0,property,2.0,20692.6,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,4.0,property,3.0,13310.2,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes
medium_pop,4.0,rent_low_or_free_transfer,3.0,10262.5,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
medium_pop,4.0,property,1.0,14070.5,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes
medium_pop,4.0,mortgage,2.0,23831.6,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes
medium_pop,5.0,mortgage,3.0,10744.33,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
medium_pop,4.0,property,2.0,20105.73,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes
high_pop,5.0,rent,2.0,20437.25,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes
high_pop,3.0,mortgage,1.0,-8713.5,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,5.0,mortgage,4.0,20076.19,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes
high_pop,5.0,mortgage,2.0,35760.0,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes
high_pop,4.0,mortgage,3.0,45293.89,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes
high_pop,4.0,mortgage,1.0,65300.0,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes
high_pop,4.0,mortgage,4.0,14476.19,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes
high_pop,5.0,mortgage,5.0,19160.79,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes
high_pop,5.0,mortgage,1.0,19056.0,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,yes
high_pop,4.0,property,2.0,18172.13,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no,yes
high_pop,4.0,property,3.0,27525.0,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4.0,property,2.0,20314.47,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4.0,property,4.0,21158.96,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4.0,property,1.0,26902.7,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,5.0,property,4.0,24676.4,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes
high_pop,3.0,property,3.0,6401.9,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes
high_pop,2.0,rent_low_or_free_transfer,1.0,21202.1,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes
high_pop,4.0,property,2.0,29632.13,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes
high_pop,3.0,mortgage,1.0,37508.2,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes
high_pop,4.0,mortgage,4.0,38466.67,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4.0,rent_low_or_free_transfer,2.0,14883.32,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no
high_pop,4.0,rent_low_or_free_transfer,3.0,19645.0,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes
high_pop,5.0,mortgage,3.0,36039.17,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4.0,property,4.0,37055.71,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
high_pop,5.0,mortgage,3.0,19633.33,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,no,no
high_pop,3.0,mortgage,6.0,11569.63,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes
high_pop,2.0,rent,1.0,19796.8,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,yes
high_pop,5.0,mortgage,3.0,18367.69,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,3.0,rent_low_or_free_transfer,1.0,32673.6,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,6.0,property,1.0,29666.2,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,6.0,mortgage,2.0,30495.8,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,yes
high_pop,4.0,property,1.0,4527.24,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes
high_pop,6.0,property,2.0,50256.8,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes
high_pop,2.0,rent,1.0,16724.6,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes
high_pop,6.0,mortgage,5.0,17010.43,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes
high_pop,5.0,property,1.0,17443.5,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes
high_pop,6.0,property,4.0,18871.16,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes
high_pop,4.0,property,3.0,23511.65,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,no
high_pop,4.0,property,1.0,10589.2,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4.0,property,1.0,0.0,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4.0,mortgage,3.0,19528.7,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4.0,rent,2.0,7466.64,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,6.0,property,2.0,23903.17,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,6.0,mortgage,2.0,10447.27,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no
high_pop,5.0,property,5.0,14044.57,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes
high_pop,5.0,mortgage,2.0,12983.67,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes
high_pop,5.0,rent,1.0,7735.4,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes
high_pop,4.0,property,1.0,1965.2,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,3.0,property,1.0,3855.0,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no
low_pop,5.0,property,3.0,8760.28,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5.0,rent_low_or_free_transfer,2.0,8253.8,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,no,yes,no
low_pop,5.0,property,3.0,16129.95,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no
low_pop,6.0,mortgage,1.0,29530.0,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5.0,mortgage,1.0,6812.03,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,4.0,property,2.0,7293.53,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes
low_pop,5.0,mortgage,4.0,24743.62,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,6.0,mortgage,4.0,9441.0,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,3.0,property,3.0,12827.0,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,yes
