@relation dataset

@attribute urban_degree {0, 1, 2}
@attribute house_rooms real
@attribute housing_tenure {0, 1, 2, 3}
@attribute family_members real
@attribute equivalent_income real
@attribute invoices_overdue {0, 1}
@attribute afford_holidays {0, 1}
@attribute afford_meal {0, 1}
@attribute afford_unexpected {0, 1}
@attribute have_phone {0, 1}
@attribute have_tv {0, 1}
@attribute have_computer {0, 1}
@attribute have_washer {0, 1}
@attribute have_car {0, 1}
@attribute have_shower {0, 1}
@attribute have_wc {0, 1}
@attribute problem_light {0, 1}
@attribute problem_noise {0, 1}
@attribute problem_pollution {0, 1}
@attribute problem_vandal {0, 1}
@attribute problem_leaks {0, 1}
@attribute afford_heating {0, 1}


@data

1,4.0,1,2.0,20692.6,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,4.0,1,3.0,13310.2,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1
2,4.0,3,3.0,10262.5,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
2,4.0,1,1.0,14070.5,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1
2,4.0,0,2.0,23831.6,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1
2,5.0,0,3.0,10744.33,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
2,4.0,1,2.0,20105.73,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
0,5.0,2,2.0,20437.25,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1
0,3.0,0,1.0,-8713.5,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
0,5.0,0,4.0,20076.19,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
0,5.0,0,2.0,35760.0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1
0,4.0,0,3.0,45293.89,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
