@relation dataset

@attribute sports real
@attribute religious real
@attribute nature real
@attribute theatre real
@attribute shopping real
@attribute picnic real


@data

2.0,?,79.0,?,68.0,?
2.0,?,76.0,76.0,?,68.0
2.0,50.0,97.0,?,?,75.0
2.0,68.0,77.0,95.0,76.0,61.0
?,98.0,54.0,59.0,?,86.0
3.0,?,?,93.0,?,76.0
?,64.0,85.0,82.0,73.0,69.0
?,?,?,92.0,?,76.0
?,?,?,64.0,54.0,93.0
3.0,86.0,76.0,74.0,?,?
3.0,?,?,64.0,?,94.0
3.0,103.0,?,63.0,102.0,93.0
3.0,64.0,?,82.0,75.0,69.0
?,?,54.0,74.0,103.0,?
?,?,?,?,78.0,69.0
3.0,82.0,?,?,?,82.0
5.0,?,131.0,103.0,?,86.0
?,?,?,?,56.0,85.0
4.0,?,67.0,111.0,65.0,72.0
?,114.0,83.0,65.0,?,?
4.0,93.0,82.0,?,79.0,?
4.0,105.0,?,?,113.0,?
?,69.0,118.0,?,66.0,101.0
?,71.0,?,64.0,?,102.0
5.0,?,?,81.0,?,91.0
5.0,83.0,99.0,?,74.0,91.0
5.0,69.0,133.0,?,?,?
5.0,128.0,53.0,74.0,117.0,?
?,74.0,?,69.0,?,?
5.0,79.0,?,?,90.0,?
4.0,51.0,?,?,?,?
5.0,?,93.0,93.0,?,?
?,100.0,?,86.0,112.0,?
?,88.0,69.0,?,71.0,?
?,93.0,?,?,?,?
?,79.0,86.0,?,93.0,73.0
4.0,87.0,72.0,112.0,63.0,?
5.0,65.0,128.0,?,56.0,101.0
4.0,91.0,66.0,110.0,?,?
4.0,?,?,?,?,90.0
5.0,59.0,118.0,?,?,85.0
?,?,?,90.0,80.0,79.0
?,87.0,89.0,76.0,?,111.0
4.0,?,85.0,79.0,85.0,91.0
5.0,?,94.0,79.0,79.0,?
?,?,?,74.0,?,?
?,118.0,59.0,69.0,119.0,97.0
4.0,101.0,61.0,76.0,113.0,?
5.0,88.0,?,?,?,114.0
4.0,?,?,87.0,?,79.0
14.0,148.0,59.0,?,208.0,119.0
?,93.0,89.0,74.0,?,93.0
4.0,?,?,?,103.0,85.0
4.0,76.0,92.0,?,90.0,71.0
?,94.0,?,?,118.0,92.0
8.0,108.0,109.0,89.0,?,143.0
6.0,?,89.0,?,79.0,?
?,84.0,?,102.0,?,90.0
8.0,138.0,74.0,?,?,118.0
?,?,109.0,?,89.0,?
8.0,?,104.0,94.0,?,?
8.0,94.0,128.0,?,128.0,?
?,64.0,?,118.0,?,97.0
6.0,84.0,108.0,?,103.0,79.0
?,?,109.0,?,99.0,138.0
?,?,?,?,?,?
6.0,?,?,?,74.0,?
6.0,103.0,109.0,99.0,?,?
?,?,99.0,?,?,138.0
8.0,108.0,?,104.0,79.0,?
?,?,?,84.0,?,128.0
8.0,?,?,?,?,?
?,?,153.0,?,?,113.0
8.0,74.0,148.0,118.0,?,?
?,74.0,?,118.0,59.0,?
6.0,?,64.0,101.0,?,92.0
?,69.0,153.0,113.0,?,99.0
6.0,123.0,?,89.0,128.0,90.0
?,?,?,128.0,?,78.0
6.0,124.0,59.0,?,?,?
?,84.0,131.0,128.0,93.0,?
6.0,?,64.0,89.0,141.0,86.0
6.0,?,64.0,99.0,134.0,88.0
?,89.0,143.0,84.0,?,118.0
6.0,98.0,?,133.0,69.0,?
6.0,98.0,?,109.0,91.0,101.0
?,84.0,143.0,74.0,?,133.0
8.0,123.0,64.0,93.0,148.0,?
6.0,?,113.0,141.0,98.0,?
?,59.0,148.0,?,59.0,97.0
?,143.0,69.0,79.0,?,?
8.0,94.0,133.0,84.0,?,97.0
8.0,84.0,108.0,113.0,?,?
8.0,84.0,?,89.0,69.0,123.0
6.0,?,?,?,98.0,81.0
