@relation dataset

@attribute games real
@attribute starts real
@attribute min real
@attribute fgm real
@attribute fgp real
@attribute 3pm real
@attribute 3pp real
@attribute ftm real
@attribute ftp real
@attribute off real
@attribute def real
@attribute ast real
@attribute stl real
@attribute to real
@attribute blk real
@attribute pf real
@attribute dq real
@attribute tf real


@data

82.0,75.0,27.17,3.32,0.46,1.32,0.43,?,0.73,?,2.35,1.68,0.56,0.9,0.37,2.74,0.01,?
6.0,0.0,4.83,0.83,0.5,?,0.0,0.0,?,0.17,0.5,0.0,0.17,0.33,0.17,0.83,0.0,0.0
78.0,78.0,37.42,?,?,?,0.31,2.95,0.76,?,?,?,0.86,1.33,?,2.96,0.03,?
?,0.0,3.75,?,0.17,?,0.0,0.25,?,0.25,0.38,0.25,0.13,?,0.13,1.13,0.0,?
51.0,?,8.98,0.9,?,?,0.17,0.24,0.92,?,0.9,0.31,0.22,0.43,0.1,1.33,0.0,0.0
80.0,80.0,35.15,5.8,0.48,1.81,0.36,2.89,?,0.56,?,2.64,0.8,1.61,0.31,2.28,0.01,?
54.0,8.0,16.46,2.39,0.51,0.0,0.0,1.33,0.61,0.96,1.72,1.33,1.09,?,0.35,2.02,0.02,0.0
52.0,?,27.38,?,0.35,?,0.35,1.13,?,0.25,2.23,3.38,0.96,1.83,0.19,1.98,0.0,0.02
?,0.0,14.75,1.92,0.55,0.0,?,0.85,?,1.62,2.76,0.39,0.3,0.72,0.92,2.14,0.01,0.03
76.0,?,22.28,1.87,0.57,?,0.0,2.16,?,1.93,?,0.43,0.55,0.78,1.89,2.25,0.01,?
63.0,0.0,14.16,2.33,0.43,0.43,0.35,?,0.69,0.86,2.44,?,0.24,?,0.19,?,0.0,0.02
1.0,0.0,15.0,1.0,0.33,0.0,?,?,0.0,1.0,0.0,?,0.0,1.0,0.0,1.0,?,0.0
63.0,6.0,14.57,2.68,0.44,?,0.37,1.13,0.87,1.11,2.1,0.59,0.4,0.89,0.22,1.29,0.0,0.0
69.0,?,38.2,9.97,0.46,?,0.32,7.36,?,?,4.38,?,1.28,3.03,0.43,3.26,0.03,0.17
80.0,?,16.48,0.95,?,0.0,0.0,0.83,0.72,?,1.58,0.15,?,0.56,1.36,1.98,?,0.0
32.0,32.0,36.47,?,0.41,?,0.35,?,0.74,0.53,3.63,7.19,1.28,?,?,2.97,0.06,?
72.0,?,36.54,5.47,?,?,?,2.06,0.65,1.08,?,3.83,1.76,2.24,0.56,?,?,0.03
33.0,0.0,10.18,0.85,?,0.0,0.0,0.45,0.47,0.82,1.64,0.64,0.45,0.67,0.36,1.79,0.03,0.0
72.0,34.0,?,2.47,?,?,?,1.06,0.84,?,1.44,3.13,0.5,0.75,0.08,?,0.0,0.0
77.0,77.0,33.84,3.97,0.41,1.36,0.35,1.66,0.69,1.29,3.01,?,1.39,1.57,0.27,?,0.01,?
32.0,?,?,1.97,0.43,0.0,0.0,0.53,0.57,1.16,?,0.47,0.44,?,0.44,1.88,0.0,?
40.0,11.0,?,1.43,0.36,0.55,0.3,0.63,0.93,0.13,?,2.28,0.43,0.8,0.0,?,0.03,0.0
80.0,2.0,18.4,2.1,0.39,?,?,?,0.78,0.14,?,2.41,?,0.93,?,1.59,0.0,0.0
9.0,?,?,5.33,?,1.11,0.37,?,0.68,1.33,3.22,1.11,?,0.78,1.0,?,0.0,?
13.0,1.0,7.0,0.46,?,0.0,0.0,0.15,0.33,?,?,?,0.62,?,0.15,1.23,0.0,?
22.0,0.0,11.09,1.77,0.53,0.32,?,1.09,0.83,0.14,?,1.18,?,?,?,1.36,?,0.05
44.0,?,17.8,?,0.42,?,0.32,1.45,?,?,1.32,1.45,0.52,?,0.27,1.61,0.0,0.0
78.0,?,?,2.97,0.44,0.72,0.36,?,0.84,0.22,1.65,?,?,?,0.08,1.53,0.01,0.03
80.0,?,34.98,6.71,?,?,0.37,2.26,?,1.31,4.85,?,0.31,1.5,?,2.69,0.04,0.04
81.0,58.0,?,3.35,0.49,0.81,0.32,1.33,0.74,1.31,4.17,1.65,0.73,1.38,0.37,2.28,0.01,0.11
7.0,?,?,?,0.44,?,?,3.14,?,4.43,6.57,?,?,1.57,0.57,3.43,0.0,0.0
50.0,3.0,?,?,0.51,0.0,?,1.04,0.83,1.08,1.48,0.38,?,0.62,0.54,?,?,?
15.0,0.0,8.87,0.93,?,0.07,0.25,0.47,?,?,1.27,0.2,0.27,?,0.13,?,?,?
67.0,62.0,?,2.66,0.4,?,?,?,0.73,?,3.55,2.45,?,0.96,1.13,?,?,0.01
37.0,?,?,3.76,0.52,1.46,0.41,1.16,0.84,0.86,2.95,?,0.65,0.73,?,2.24,0.03,0.0
74.0,11.0,17.62,2.7,0.41,0.39,0.32,2.72,0.83,0.24,1.38,2.32,0.35,?,?,2.05,0.01,0.03
?,78.0,29.83,6.0,0.45,0.36,0.27,2.46,0.8,1.59,4.81,?,?,1.68,?,?,?,?
?,16.0,12.54,2.77,?,0.8,?,?,?,?,1.18,1.32,?,0.96,0.21,?,0.02,0.0
?,1.0,16.97,?,?,?,?,1.53,0.83,0.21,1.23,?,0.64,?,0.08,1.21,0.02,0.0
?,39.0,22.77,2.38,?,1.03,0.37,?,?,0.44,1.42,1.46,?,0.76,0.17,1.92,0.0,0.0
?,5.0,30.17,4.67,0.46,2.0,0.44,0.5,?,?,3.0,2.17,0.67,?,0.33,2.5,0.0,0.17
25.0,1.0,11.68,1.6,0.4,?,0.36,?,?,0.6,1.48,0.64,0.08,1.12,?,1.32,0.0,?
?,80.0,27.45,3.35,0.42,1.58,0.39,0.85,0.86,0.25,2.05,?,0.84,1.13,0.04,1.96,0.0,?
33.0,29.0,?,?,?,0.0,0.0,0.12,0.16,?,?,1.76,0.61,0.97,?,3.55,?,0.0
73.0,73.0,34.1,5.51,0.42,?,?,6.38,?,0.34,2.78,?,1.12,?,0.12,2.1,0.01,0.11
82.0,24.0,18.24,?,0.56,0.0,0.0,?,?,?,3.99,0.79,0.61,1.37,0.48,?,?,0.02
?,38.0,26.96,2.71,0.42,?,0.39,0.45,0.75,0.26,2.08,?,?,1.6,0.08,1.54,0.0,?
81.0,?,?,5.9,?,?,0.3,2.15,?,1.95,?,2.1,1.05,2.23,0.88,2.69,?,0.05
79.0,50.0,19.75,1.52,?,0.89,0.36,0.47,?,0.32,?,1.2,0.57,?,?,?,0.01,?
?,?,?,?,?,0.0,0.0,2.16,?,3.01,?,1.84,0.57,1.9,2.54,?,?,0.06
65.0,?,17.92,?,0.45,1.38,0.39,0.54,0.73,0.8,?,?,?,?,0.37,?,0.02,0.02
63.0,28.0,16.59,?,0.52,0.0,0.0,0.3,?,1.97,3.03,?,0.48,0.59,?,?,0.0,0.0
78.0,78.0,34.24,7.91,0.56,0.0,0.0,3.65,?,2.32,?,?,?,?,?,3.46,0.05,?
70.0,70.0,36.07,8.57,0.52,?,0.36,6.71,0.8,?,7.91,?,0.61,2.41,?,2.43,0.01,0.03
1.0,0.0,?,1.0,?,0.0,0.0,2.0,1.0,1.0,?,?,1.0,?,0.0,2.0,0.0,?
67.0,?,16.7,2.57,0.43,0.28,0.32,1.15,?,0.25,0.87,?,0.36,1.03,0.04,0.72,0.0,?
76.0,?,30.22,5.42,?,0.0,0.0,2.26,0.74,2.36,3.71,1.45,?,1.72,?,3.05,0.01,0.0
82.0,?,30.28,4.99,?,1.0,?,2.02,0.65,0.84,2.55,?,?,?,0.35,2.73,0.05,0.01
58.0,52.0,30.0,?,0.49,0.14,0.26,1.47,0.64,0.78,2.45,2.66,1.57,0.91,0.24,1.38,0.0,0.0
21.0,0.0,4.57,0.43,0.35,?,0.0,0.05,0.17,0.57,0.62,0.05,0.05,0.1,0.14,?,0.0,?
?,?,12.63,1.06,?,?,?,0.71,0.6,?,?,0.44,0.27,0.44,0.08,2.21,0.0,0.0
82.0,82.0,35.59,7.01,?,2.55,0.4,?,0.82,0.66,1.96,5.29,0.84,2.83,0.17,2.43,?,?
45.0,?,11.56,1.96,0.37,0.58,0.27,?,0.87,0.2,0.64,1.96,?,1.02,?,?,0.0,0.0
57.0,0.0,?,1.19,0.46,?,0.29,0.84,0.67,?,?,0.33,?,0.33,0.18,?,?,0.0
50.0,?,21.16,?,0.38,?,?,1.38,?,?,1.9,?,0.66,?,0.12,?,?,0.0
48.0,1.0,?,?,?,0.0,0.0,0.69,?,1.1,2.58,0.46,0.31,0.9,0.25,1.94,0.02,?
