@relation dataset

@attribute category_1 real
@attribute category_2 real
@attribute category_3 real
@attribute category_4 real
@attribute category_5 real
@attribute category_6 real
@attribute category_7 real
@attribute category_8 real
@attribute category_9 real
@attribute category_10 real


@data

?,1.8,?,0.62,0.8,2.42,3.19,2.79,?,?
?,2.2,2.66,0.64,1.42,3.18,?,2.63,?,2.32
1.22,0.8,?,0.53,0.24,?,3.18,2.8,1.31,2.5
0.45,?,?,?,0.46,1.52,3.18,2.96,?,2.86
0.51,?,?,0.57,?,2.02,3.18,2.78,?,2.54
0.99,1.28,0.72,0.27,0.74,?,3.17,2.89,1.66,?
0.9,1.36,0.26,0.32,0.86,1.58,3.17,2.66,?,3.22
?,?,0.22,0.41,0.82,1.5,3.17,?,?,?
1.12,1.76,1.04,0.64,0.82,?,3.18,2.79,1.41,2.54
0.7,?,?,?,?,1.54,?,2.82,2.24,?
1.47,?,0.7,0.75,?,2.76,3.18,2.89,1.66,?
0.96,2.96,0.29,?,0.88,2.08,3.17,?,?,3.42
?,1.44,?,0.45,0.98,1.74,3.2,?,1.38,?
?,1.64,2.27,?,1.26,?,?,2.91,2.3,2.74
0.96,?,2.29,?,1.2,2.84,3.2,2.82,?,?
1.25,?,1.76,0.5,?,2.08,3.19,?,1.41,?
?,?,?,0.34,?,?,3.18,2.73,?,?
0.61,1.96,2.49,?,1.34,?,3.2,3.04,1.15,2.42
0.67,1.36,?,0.38,0.82,?,?,?,?,2.8
?,1.04,2.1,?,1.18,1.98,3.19,?,1.22,?
?,1.44,?,?,1.2,2.18,?,2.7,1.06,?
?,?,?,0.42,?,2.08,3.17,?,1.15,?
?,1.16,0.29,0.41,?,?,3.16,2.74,?,3.66
0.54,1.44,0.3,?,1.02,?,?,2.71,?,?
?,?,1.15,?,?,2.02,3.18,2.77,1.92,2.46
0.61,2.84,2.8,0.48,?,?,3.19,2.54,1.6,2.54
?,?,?,?,1.28,2.64,3.19,?,1.34,?
0.99,?,1.22,?,?,?,3.18,2.79,1.22,?
?,?,?,?,0.54,0.76,3.17,2.69,1.63,2.94
0.64,1.16,3.12,?,?,3.16,3.2,2.75,1.54,2.46
?,1.28,2.14,?,0.94,2.26,?,?,?,2.34
0.7,2.24,?,?,?,2.12,3.19,?,1.28,?
0.64,2.0,1.6,?,2.08,?,?,2.8,?,2.72
?,1.12,0.21,?,0.98,2.5,?,2.9,?,2.74
0.96,?,?,0.29,0.98,1.42,3.18,?,?,3.02
0.88,0.96,?,?,0.74,?,3.18,3.01,?,?
0.7,?,1.15,0.32,0.4,1.1,3.18,?,1.76,2.9
?,?,0.91,?,0.72,1.22,3.18,?,?,3.2
?,?,?,0.62,?,1.68,3.2,?,1.6,?
1.38,1.08,0.18,0.62,?,1.46,?,?,?,2.42
?,1.24,0.15,0.24,?,?,3.17,?,1.02,3.06
0.58,?,0.19,0.41,?,0.98,3.16,?,1.57,?
?,1.24,?,0.24,1.06,?,?,2.82,?,2.88
?,?,0.42,?,0.46,?,?,2.86,?,2.66
0.64,1.64,?,0.62,0.64,?,3.18,3.1,?,2.8
?,1.4,?,0.39,?,1.46,3.17,2.9,1.82,?
0.38,?,0.77,0.34,1.06,1.46,3.18,3.15,2.18,?
0.9,1.2,1.24,0.35,?,?,3.18,2.86,?,2.94
0.45,2.96,0.26,0.4,0.56,1.68,?,2.9,1.44,?
?,1.08,2.22,0.65,?,2.06,3.19,2.62,?,2.34
?,1.2,0.3,?,?,?,?,2.93,?,3.42
0.42,1.48,2.06,0.48,0.96,1.4,3.18,2.71,?,2.86
0.8,?,?,?,?,2.18,3.18,2.59,?,3.02
?,0.64,1.12,?,0.8,?,?,?,?,2.56
1.02,?,0.37,?,0.54,?,?,?,?,?
?,1.68,?,0.37,0.86,1.1,?,2.94,1.31,3.12
?,?,?,0.54,1.06,2.28,3.19,?,?,?
0.93,1.48,0.78,0.39,?,1.7,3.18,2.82,?,2.88
0.64,1.2,2.27,0.64,1.42,2.83,3.2,?,?,2.38
?,1.4,1.23,0.64,1.2,?,?,2.81,1.6,?
1.06,1.92,3.11,0.55,?,3.24,3.2,2.62,?,?
?,?,?,0.45,?,0.82,3.18,3.03,?,?
0.9,1.12,0.22,0.45,?,1.1,3.18,2.82,?,?
0.51,?,0.37,0.42,0.48,?,3.18,3.1,1.34,?
?,?,?,0.37,1.14,1.76,3.18,2.9,1.5,3.01
1.47,0.72,0.53,0.62,?,1.9,3.18,?,?,2.88
0.99,?,2.32,0.43,0.16,?,?,2.79,1.09,?
0.93,1.0,0.61,?,0.8,1.52,3.18,?,1.28,?
0.51,1.08,1.92,0.34,1.04,1.3,?,?,1.09,2.88
0.54,1.44,0.72,?,?,?,3.18,?,?,2.54
