@relation dataset

@attribute x real
@attribute y real
@attribute month {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}
@attribute day {0, 1, 2, 3, 4, 5, 6}
@attribute ffmc real
@attribute dmc real
@attribute dc real
@attribute isi real
@attribute temp real
@attribute rh real
@attribute wind real
@attribute rain real
@attribute area real


@data

7.0,5.0,7,0,86.2,26.2,94.3,5.1,8.2,51.0,6.7,0.0,0.0
7.0,4.0,10,5,90.6,35.4,669.1,6.7,18.0,33.0,0.9,0.0,0.0
7.0,4.0,10,2,90.6,43.7,686.9,6.7,14.6,33.0,1.3,0.0,0.0
8.0,6.0,7,0,91.7,33.3,77.5,9.0,8.3,97.0,4.0,0.2,0.0
8.0,6.0,7,3,89.3,51.3,102.2,9.6,11.4,99.0,1.8,0.0,0.0
8.0,6.0,1,3,92.3,85.3,488.0,14.7,22.2,29.0,5.4,0.0,0.0
8.0,6.0,1,1,92.3,88.9,495.6,8.5,24.1,27.0,3.1,0.0,0.0
8.0,6.0,1,1,91.5,145.4,608.2,10.7,8.0,86.0,2.2,0.0,0.0
8.0,6.0,11,5,91.0,129.5,692.6,7.0,13.1,63.0,5.4,0.0,0.0
7.0,5.0,11,2,92.5,88.0,698.6,7.1,22.8,40.0,4.0,0.0,0.0
7.0,5.0,11,2,92.5,88.0,698.6,7.1,17.8,51.0,7.2,0.0,0.0
7.0,5.0,11,2,92.8,73.2,713.0,22.6,19.3,38.0,4.0,0.0,0.0
6.0,5.0,1,0,63.5,70.8,665.3,0.8,17.0,72.0,6.7,0.0,0.0
6.0,5.0,11,1,90.9,126.5,686.5,7.0,21.3,42.0,2.2,0.0,0.0
6.0,5.0,11,6,92.9,133.3,699.6,9.2,26.4,21.0,4.5,0.0,0.0
6.0,5.0,11,0,93.3,141.2,713.9,13.9,22.9,44.0,5.4,0.0,0.0
5.0,5.0,7,2,91.7,35.8,80.8,7.8,15.1,27.0,5.4,0.0,0.0
8.0,5.0,10,1,84.9,32.8,664.2,3.0,16.7,47.0,4.9,0.0,0.0
6.0,4.0,7,6,89.2,27.9,70.8,6.3,15.9,35.0,4.0,0.0,0.0
6.0,4.0,0,2,86.3,27.4,97.1,5.1,9.3,44.0,4.5,0.0,0.0
6.0,4.0,11,5,91.0,129.5,692.6,7.0,18.3,40.0,2.7,0.0,0.0
5.0,4.0,11,1,91.8,78.5,724.3,9.2,19.1,38.0,2.7,0.0,0.0
7.0,4.0,6,3,94.3,96.3,200.0,56.1,21.0,44.0,4.5,0.0,0.0
7.0,4.0,1,2,90.2,110.9,537.4,6.2,19.5,43.0,5.8,0.0,0.0
7.0,4.0,1,2,93.5,139.4,594.2,20.3,23.7,32.0,5.8,0.0,0.0
7.0,4.0,1,3,91.4,142.4,601.4,10.6,16.3,60.0,5.4,0.0,0.0
7.0,4.0,11,0,92.4,117.9,668.0,12.2,19.0,34.0,5.8,0.0,0.0
7.0,4.0,11,1,90.9,126.5,686.5,7.0,19.4,48.0,1.3,0.0,0.0
6.0,3.0,11,2,93.4,145.4,721.4,8.1,30.2,24.0,2.7,0.0,0.0
6.0,3.0,11,3,93.5,149.3,728.6,8.1,22.8,39.0,3.6,0.0,0.0
6.0,3.0,11,0,94.3,85.1,692.3,15.9,25.4,24.0,3.6,0.0,0.0
6.0,3.0,11,1,88.6,91.8,709.9,7.1,11.2,78.0,7.6,0.0,0.0
6.0,3.0,11,0,88.6,69.7,706.8,5.8,20.6,37.0,1.8,0.0,0.0
6.0,3.0,11,3,91.7,75.6,718.3,7.8,17.7,39.0,3.6,0.0,0.0
6.0,3.0,11,1,91.8,78.5,724.3,9.2,21.2,32.0,2.7,0.0,0.0
6.0,3.0,11,5,90.3,80.7,730.2,6.3,18.2,62.0,4.5,0.0,0.0
6.0,3.0,10,5,90.6,35.4,669.1,6.7,21.7,24.0,4.5,0.0,0.0
7.0,4.0,10,0,90.0,41.5,682.6,8.7,11.3,60.0,5.4,0.0,0.0
7.0,3.0,10,2,90.6,43.7,686.9,6.7,17.8,27.0,4.0,0.0,0.0
4.0,4.0,7,5,88.1,25.7,67.6,3.8,14.1,43.0,2.7,0.0,0.0
4.0,4.0,5,5,79.5,60.6,366.7,1.5,23.3,37.0,3.1,0.0,0.0
4.0,4.0,1,2,90.2,96.9,624.2,8.9,18.4,42.0,6.7,0.0,0.0
4.0,4.0,1,5,94.8,108.3,647.1,17.0,16.6,54.0,5.4,0.0,0.0
4.0,4.0,11,2,92.5,88.0,698.6,7.1,19.6,48.0,2.7,0.0,0.0
4.0,4.0,11,6,90.1,82.9,735.7,6.2,12.9,74.0,4.9,0.0,0.0
5.0,6.0,11,6,94.3,85.1,692.3,15.9,25.9,24.0,4.0,0.0,0.0
5.0,6.0,11,1,90.9,126.5,686.5,7.0,14.7,70.0,3.6,0.0,0.0
6.0,6.0,5,1,94.2,62.3,442.9,11.0,23.0,36.0,3.1,0.0,0.0
4.0,4.0,7,1,87.2,23.9,64.7,4.1,11.8,35.0,1.8,0.0,0.0
4.0,4.0,7,1,87.6,52.2,103.8,5.0,11.0,46.0,5.8,0.0,0.0
4.0,4.0,11,4,92.9,137.0,706.4,9.2,20.8,17.0,1.3,0.0,0.0
